Bmr025-c4_0000040_0000110,yeah .,yeah .,z,z
Bmr025-c0_0075524_0077360,uh | yes uhhuh .,uh | yes uh-huh .,h|s^aa^rt,h|s^aa^rt
Bmr025-ca_0077150_0077370,okay .,o_k .,s^bk,s^bk
Bmr025-ca_0077982_0080072,so i'll - i'll probably just make some copies of those .,so i'll - i'll probably just make some copies of those .,s^cc,s^cc
Bmr025-ca_0080382_0081842,rather than use the ones that are there .,rather than use the ones that are there .,s^e,s^e
Bmr025-c0_0083330_0083650,okay .,o_k .,s^bk^rt,s^bk^rt
Bmr025-ca_0083450_0088920,um | and then just - we'll have to remember to delete them once the corrections are made .,um | and then just - we'll have to remember to delete them once the corrections are made .,fh|s^co,fh|s^co
Bmr025-c0_0090489_0090849,okay .,o_k .,s^bk,s^bk
Bmr025-c1_0092394_0093164,okay | wh- ==,o_k | wh- ==,fg|%-,fg|%-
Bmr025-c3_0092570_0095020,i also got anot- - a short remark to the transcription .,i also got anot- - a short remark to the transcription .,s,s
Bmr025-c3_0095020_0099020,i've uh just processed the first five e d u meetings .,i've uh just processed the first five e_d_u meetings .,s,s
Bmr025-c3_0099020_0100490,and they are chunked up .,and they are chunked up .,s,s
Bmr025-c3_0100490_0103430,so they would - they probably can be sent to i b m .,so they would - they probably can be sent to i_b_m .,s^rt,s^rt
Bmr025-c3_0104139_0104959,whenever they want them .,whenever they want them .,s^e^rt,s^e^rt
Bmr025-c5_0105920_0107160,well the second one of those ==,well the second one of those ==,s.%-,s.%-
Bmr025-c2_0106013_0106293,cool .,cool .,s^bk,s^bk
Bmr025-c3_0107130_0108820,yep | it's already at i b m .,yep | it's already at i_b_m .,s^aa|s^2,s^aa|s^2
Bmr025-c5_0107479_0108509,is already at i b m .,is already at i_b_m .,s^m,s^m
Bmr025-c3_0108820_0109620,but the other ones ==,but the other ones ==,s.%-,s.%-
Bmr025-c5_0109044_0111074,that's the one that we're waiting to hear from them on .,that's the one that we're waiting to hear from them on .,s,s
Bmr025-c3_0109620_0109780,yeah .,yeah .,b,b
Bmr025-c3_0111027_0111147,yeah .,yeah .,b,b
Bmr025-c5_0111700_0111910,yeah .,yeah .,b,b
Bmr025-c0_0111850_0112190,okay .,o_k .,b,b
Bmr025-c0_0112535_0114225,these are separate from the ones that ==,these are separate from the ones that ==,s^bu.%-,s^bu.%-
Bmr025-c5_0112570_0112920,as soon as ==,as soon as ==,s.%-,s.%-
Bmr025-c0_0114435_0114905,i mean these are ==,i mean these are ==,s.%-,s.%-
Bmr025-c5_0114630_0115440,they're the i b m set .,they're the i_b_m set .,s,s
Bmr025-ca_0115727_0116207,it's this one .,it's this one .,s.%,s.%
Bmr025-c3_0115824_0116014,yep .,yep .,s^aa,s^aa
Bmr025-c0_0116360_0116840,excellent .,excellent .,b,b
Bmr025-c5_0116987_0117167,yeah .,yeah .,b,b
Bmr025-c0_0117110_0117300,good .,good .,b,b
Bmr025-ca_0117590_0118160,is my mike on ?,is my mike on ?,qy^rt^t1,qy^rt^t1
Bmr025-c5_0117780_0121700,and so as soon as we hear from brian that this one is okay .,and so as soon as we hear from brian that this one is o_k .,s^rt,s^rt
Bmr025-ca_0118160_0118380,yeah .,yeah .,b,b
Bmr025-c5_0121700_0122920,and we get the transcript back .,and we get the transcript back .,s,s
Bmr025-c5_0122920_0129389,and we find out that hopefully there are no problems matching up the transcript with what we gave them .,and we find out that hopefully there are no problems matching up the transcript with what we gave them .,s,s
Bmr025-c5_0130450_0133980,then uh we'll be ready to go and we'll just send them the next four as a big batch .,then uh we'll be ready to go and we'll just send them the next four as a big batch .,s^cc,s^cc
Bmr025-c0_0134318_0134678,excellent .,excellent .,b,b
Bmr025-c5_0134810_0135770,and let them work on that .,and let them work on that .,s,s
Bmr025-ca_0136120_0139260,and so we're doing those as disjoint from the ones we're transcribing here ?,and so we're doing those as disjoint from the ones we're transcribing here ?,qy^bu^d^rt,qy^bu^d^rt
Bmr025-c5_0139580_0139720,yes .,yes .,s^aa,s^aa
Bmr025-ca_0139910_0140300,okay good .,o_k good .,s^bk,s^bk
Bmr025-c5_0140130_0140580,exactly .,exactly .,s^aa,s^aa
Bmr025-c5_0140580_0141720,we're sort of doing things in parallel .,we're sort of doing things in parallel .,s,s
Bmr025-c5_0141720_0143330,that way we can get as much done a- - at once .,that way we can get as much done a- - at once .,s^df,s^df
Bmr025-ca_0142910_0144020,yeah i think that's the right way to do it .,yeah i think that's the right way to do it .,s^na,s^na
Bmr025-c5_0143910_0144090,yeah .,yeah .,s^aa,s^aa
Bmr025-ca_0144170_0146060,especially for the information retrieval stuff .,especially for the information retrieval stuff .,s^e,s^e
Bmr025-ca_0148891_0150401,anything else on transcription status ?,anything else on transcription status ?,qy^d^rt^t,qy^d^rt^t
Bmr025-c0_0150217_0150437,hm-huh .,hm-mmm .,s^ar,s^ar
Bmr025-ca_0151620_0151800,okay .,o_k .,s^bk^rt,s^bk^rt
Bmr025-c1_0152360_0152930,darpa demos .,darpa demos .,s^rt^t,s^rt^t
Bmr025-c1_0152930_0154670,we had the submeeting the other day .,we had the submeeting the other day .,s^e^rt,s^e^rt
Bmr025-ca_0154560_0155700,right | which uh ==,right | which uh ==,fg|%--,fg|%--
Bmr025-ca_0156820_0161380,so i've been working on using the thisl tools to do information retrieval on meeting data .,so i've been working on using the thisl tools to do information retrieval on meeting data .,s,s
Bmr025-ca_0161908_0165822,and the thisl tools are - there're two sets there's a back end and a front end .,and the thisl tools are - there're two sets there's a back-end and a front-end .,s,s
Bmr025-ca_0165942_0167312,so the front end is the user interface .,so the front-end is the user interface .,s,s
Bmr025-ca_0167312_0170532,and the back end is the indexing tool and the querying tool .,and the back-end is the indexing tool and the querying tool .,s,s
Bmr025-ca_0171400_0176370,and so i've written some tools to convert everything into the right for- - file formats .,and so i've written some tools to convert everything into the right for- - file formats .,s,s
Bmr025-ca_0176774_0181700,and the command line version of the indexing and the querying is now working .,and the command line version of the indexing and the querying is now working .,s,s
Bmr025-ca_0182369_0188493,so at least on the one meeting that i had the transcript for - uh conveniently you can now do information retrieval on it .,so at least on the one meeting that i had the transcript for - uh conveniently you can now do information retrieval on it .,s,s
Bmr025-ca_0188593_0193003,do - type in a - a string and get back a list of start end times for the meeting .,do - type in a - a string and get back a list of start-end times for the meeting .,s^e,s^e
Bmr025-ca_0193479_0194389,uh of hits .,uh of hits .,s^e,s^e
Bmr025-c5_0193570_0196280,what - what kind of uh - what does that look like the string that you type in ?,what - what kind of uh - what does that look like the string that you type in ?,qw,qw
Bmr025-c5_0196280_0198230,what are you - are you - are they keywords or are they ?==,what are you - are you - are they keywords or are they ?==,qr.%--,qr.%--
Bmr025-ca_0197910_0198340,keywords .,keywords .,s^aa^m,s^aa^m
Bmr025-c5_0198460_0198770,okay .,o_k .,s^bk,s^bk
Bmr025-c5_0199431_0199691,i see .,i see .,s^bk,s^bk
Bmr025-ca_0199820_0206376,right and so - and then it munges it to pass it to the thisl i r which uses an s g m l like format for everything .,right and so - and then it munges it to pass it to the thisl i_r which uses an s_g_m_l-like format for everything .,s,s
Bmr025-c5_0206730_0207220,i see .,i see .,s^bk,s^bk
Bmr025-c1_0207427_0209210,and then - does it play something back ?,and then - does it play something back ?,qy^rt,qy^rt
Bmr025-c1_0209210_0210540,or that's something you're having to program ?,or that's something you're having to program ?,qr,qr
Bmr025-ca_0209533_0215043,um right now i have a tool that will do that on a command line using our standard tools .,um right now i have a tool that will do that on a command line using our standard tools .,s^na,s^na
Bmr025-c1_0215199_0215639,yeah .,yeah .,b,b
Bmr025-ca_0215475_0218935,but my intention is to do a prettier user interface based either ==,but my intention is to do a prettier user interface based either ==,s.%--,s.%--
Bmr025-ca_0219440_0222990,so - so that's the other thing i wanted to discuss is well what should we do for the user interface .,so - so that's the other thing i wanted to discuss is well what should we do for the user interface .,s^cs^t:qw,s^cs^t:qw
Bmr025-ca_0222990_0225706,we have two tools that have already been written .,we have two tools that have already been written .,s,s
Bmr025-ca_0225796_0228266,um | the softsound guys did a web based one .,um | the softsound guys did a web-based one .,fh|s,fh|s
Bmr025-c1_0228689_0229069,uhhuh .,mm-hmm .,b,b
Bmr025-ca_0229001_0231331,um | which i haven't used haven't looked at .,um | which i haven't used haven't looked at .,fh|s,fh|s
Bmr025-ca_0231331_0232681,dan says it's pretty good .,dan says it's pretty good .,s,s
Bmr025-c1_0232962_0233272,uhhuh .,mm-hmm .,b,b
Bmr025-ca_0233196_0235906,but it does mean you need to be running a web server .,but it does mean you need to be running a web server .,s,s
Bmr025-c1_0236418_0236768,uhhuh .,mm-hmm .,b,b
Bmr025-ca_0236760_0238690,and so it - it's pretty big and complex .,and so it - it's pretty big and complex .,s,s
Bmr025-ca_0239424_0241674,uh | and it would be difficult to port to windows .,uh | and it would be difficult to port to windows .,fh|s,fh|s
Bmr025-ca_0241674_0243894,because it means porting the web server to windows .,because it means porting the web server to windows .,s^df,s^df
Bmr025-c1_0244490_0244930,uhhuh .,mm-hmm .,b,b
Bmr025-ca_0244967_0250614,uh the other option is dan did the tcl t k thisl gui front end for broadcast news .,uh the other option is dan did the tcl-t_k thisl gui front-end for broadcast news .,s,s
Bmr025-c1_0249616_0249906,yeah .,yeah .,b,b
Bmr025-ca_0250614_0251584,which i think looks great .,which i think looks great .,s^ba,s^ba
Bmr025-ca_0251584_0252654,i think that's a nice demo .,i think that's a nice demo .,s^ba,s^ba
Bmr025-ca_0253177_0255757,um and that would be much easier to port to windows .,um and that would be much easier to port to windows .,s,s
Bmr025-ca_0256070_0257490,and so i think that's the way we should go .,and so i think that's the way we should go .,s^cs,s^cs
Bmr025-c0_0258666_0259796,i - can i ask a question ?,i - can i ask a question ?,qy,qy
Bmr025-ca_0259612_0259982,uhhuh .,mm-hmm .,s^aa,s^aa
Bmr025-c0_0260006_0265590,so um | as it stands within the - the channeltrans interface it's possible to do a find and a play .,so um | as it stands within the - the channeltrans interface it's possible to do a find and a play .,fh|s:s,fh|s:s
Bmr025-c0_0266300_0267750,you can find a searched string and play .,you can find a searched string and play .,s,s
Bmr025-c0_0267750_0274352,so e- - are you - so you're adding like um - i don't know uh are they fuzzy matches or are they uh ?==,so e- - are you - so you're adding like um - i don't know uh are they fuzzy matches or are they uh ?==,qo^bu.%-,qo^bu.%-
Bmr025-ca_0273632_0276301,it's a sort of standard text-retrieval-based .,it's a sort of standard text-retrieval-based .,s,s
Bmr025-ca_0277320_0280620,so it's uh term frequency inverse document frequency scoring .,so it's uh term frequency inverse document frequency scoring .,s,s
Bmr025-c0_0281036_0281466,okay .,o_k .,s^bk^rt,s^bk^rt
Bmr025-ca_0281395_0284589,um | and then there are all sorts of metrics for spacing .,um | and then there are all sorts of metrics for spacing .,fh|s,fh|s
Bmr025-ca_0284589_0286679,how far apart they have to be and things like that .,how far apart they have to be and things like that .,s^e,s^e
Bmr025-ca_0287343_0288233,so it - it's ==,so it - it's ==,s.%-,s.%-
Bmr025-c0_0288337_0291770,it's a lot more sophisticated than the uh - the basically windows based .,it's a lot more sophisticated than the uh - the basically windows-based .,s^bu,s^bu
Bmr025-ca_0289366_0293922,i- - it's like doing a google query or anyth- - anything else like that .,i- - it's like doing a google query or anyth- - anything else like that .,s^na,s^na
Bmr025-ca_0294271_0297481,so i- - it uses - so it pr- - produces an index ahead of time .,so i- - it uses - so it pr- - produces an index ahead of time .,s,s
Bmr025-c0_0294367_0294677,okay .,o_k .,s^bk^rt,s^bk^rt
Bmr025-ca_0297481_0299991,so you don't - you're not doing a linear search through all the documents .,so you don't - you're not doing a linear search through all the documents .,s,s
Bmr025-ca_0300515_0304405,because you can imagine if - with - if we have the sixty hours' worth you do - wouldn't want to do a search .,cuz you can imagine if - with - if we have the sixty hours' worth you do - wouldn't wanna do a search .,s,s
Bmr025-c0_0304281_0304591,hm-huh .,hm-mmm .,s^aa,s^aa
Bmr025-ca_0305070_0306440,um you have to do preindexing .,um you have to do preindexing .,s,s
Bmr025-c0_0305396_0305606,good .,good .,b,b
Bmr025-ca_0306440_0308080,and so that - these tools do all that .,and so that - these tools do all that .,s,s
Bmr025-ca_0309161_0312211,and so the work to get the front end to work would be porting it ==,and so the work to get the front-end to work would be porting it ==,s.%--,s.%--
Bmr025-ca_0312529_0320372,well | uh to get it to work on the unix systems our side is just rewriting them and modifying them to work for meetings .,well | uh to get it to work on the unix systems our side is just rewriting them and modifying them to work for meetings .,fh|s,fh|s
Bmr025-ca_0320552_0327963,so that it understands that they're different speakers and that it's one big audio file instead of a bunch of little ones and just sort of things like that .,so that it understands that they're different speakers and that it's one big audio file instead of a bunch of little ones and just sorta things like that .,s,s
Bmr025-c1_0320903_0321283,uhhuh .,mm-hmm .,b,b
Bmr025-c1_0323332_0323672,uhhuh .,mm-hmm .,b,b
Bmr025-c9_0327075_0327345,uhhuh .,mm-hmm .,b,b
Bmr025-c5_0328280_0330600,so what does the user see as the result of the query ?,so what does the user see as the result of the query ?,qw,qw
Bmr025-ca_0331230_0332200,on which tool ?,on which tool ?,qw^bu,qw^bu
Bmr025-c5_0332722_0333132,thisl .,thisl .,s,s
Bmr025-ca_0334040_0337310,the thisl gui tool which is the one that dan wrote tcl t k .,the thisl gui tool which is the one that dan wrote tcl-t_k .,s,s
Bmr025-c5_0335161_0335431,yeah .,yeah .,b,b
Bmr025-ca_0337795_0342113,um | you type in a query and then you get back a list of hits .,um | you type in a query and then you get back a list of hits .,fh|s,fh|s
Bmr025-ca_0342456_0344076,and you can type on them and listen to them .,and you can type on them and listen to them .,s,s
Bmr025-ca_0344839_0346249,click on them rather with a mouse .,click on them rather with a mouse .,s^bsc,s^bsc
Bmr025-c5_0345740_0345970,uh .,ah .,s^bk,s^bk
Bmr025-c5_0346630_0349000,so if you typed in small heads or something you could ?==,so if you typed in small heads or something you could ?==,qy^bu.%--:s,qy^bu.%--:s
Bmr025-c1_0346731_0346901,huh .,mmm .,b,b
Bmr025-ca_0348652_0349702,right | you'd get ==,right | you'd get ==,s^aa|%-,s^aa|%-
Bmr025-c5_0349347_0355311,get back a uh uh - something that would let you click and listen to some audio where that phrase had occurred .,get back a uh uh - something that would let you click and listen to some audio where that phrase had occurred .,s^2,s^2
Bmr025-ca_0352556_0353006,something ==,something ==,s.%-,s.%-
Bmr025-ca_0354080_0356300,you - you'd get to listen to beep .,you - you'd get to listen to beep .,s:s^j,s:s^j
Bmr025-c5_0355311_0355551,or some- ==,or some- ==,%-,%-
Bmr025-c1_0356380_0357300,that was a really good look .,that was a really good look .,s^ba^j,s^ba^j
Bmr025-c1_0357500_0359930,it's too bad that that couldn't come into the ==,it's too bad that that couldn't come into the ==,s^ba.%-,s^ba.%-
Bmr025-ca_0358920_0360000,you couldn't get a video .,you couldn't get a video .,s^j,s^j
Bmr025-c9_0360540_0361620,guess who i practice on .,guess who i practice on .,s^co,s^co
Bmr025-c0_0364000_0366290,at some point we're going to have to say what that private joke is .,at some point we're gonna have to say what that private joke is .,s,s
Bmr025-c0_0366290_0367160,that keeps coming up .,that keeps coming up .,s,s
Bmr025-c1_0366370_0366610,yeah .,yeah .,s^aa,s^aa
Bmr025-c1_0367974_0369054,and then again maybe not .,and then again maybe not .,s^ar,s^ar
Bmr025-c1_0369054_0370914,so uh ==,so uh ==,fh,fh
Bmr025-c1_0371590_0372640,yeah that soun- - that sounds reasonable .,yeah that soun- - that sounds reasonable .,s,s
Bmr025-c1_0372640_0377680,yeah it loo- - it - my - my recollection of it is it's - it's a pretty reasonable - uh demo sort of format .,yeah it loo- - it - my - my recollection of it is it's - it's a pretty reasonable - uh demo sort of format .,s,s
Bmr025-ca_0372893_0373153,right .,right .,s^bk,s^bk
Bmr025-c5_0376350_0376950,yeah that sounds good .,yeah that sounds good .,s^ba,s^ba
Bmr025-ca_0376740_0380161,and so i think there'd be minimal effort to get it to work minimally .,and so i think there'd be minimal effort to get it to work minimally .,s,s
Bmr025-c5_0377240_0378010,that sounds really neat .,that sounds really neat .,s^ba,s^ba
Bmr025-ca_0380161_0384511,and then we'd want to add things like query by speaker and by meeting and all that sort of stuff .,and then we'd wanna add things like query by speaker and by meeting and all that sort of stuff .,s^cs:s,s^cs:s
Bmr025-ca_0384971_0387651,um dave gelbart expressed some interest in working on that .,um dave gelbart expressed some interest in working on that .,s,s
Bmr025-ca_0387651_0388691,so i'll work with him on it .,so i'll work with him on it .,s^cc,s^cc
Bmr025-ca_0389078_0390248,and it - it's looking pretty good .,and it - it's looking pretty good .,s,s
Bmr025-ca_0390408_0392638,you know the fact that i got the query system working .,you know the fact that i got the query system working .,s^e,s^e
Bmr025-ca_0393193_0396333,so if we want to just do a video based one i think that'll be easy .,so if we wanna just do a video-based one i think that'll be easy .,s^ba^cs,s^ba^cs
Bmr025-c1_0396693_0397063,uhhuh .,mm-hmm .,b,b
Bmr025-ca_0396811_0399051,if we want to get it to windows it's going to be a little more work .,if we wanna get it to windows it's gonna be a little more work .,s,s
Bmr025-ca_0399051_0404630,because the thisl i r - the information retrieval tool's - um ==,because the thisl i_r - the information retrieval tool's - um ==,s^df.%--,s^df.%--
Bmr025-ca_0404840_0406930,i had difficulty just compiling them on solaris .,i had difficulty just compiling them on solaris .,s^df,s^df
Bmr025-c1_0407303_0407673,uhhuh .,mm-hmm .,b,b
Bmr025-ca_0407460_0410797,so getting them to compile on windows might be challenging .,so getting them to compile on windows might be challenging .,s,s
Bmr025-c1_0411231_0411581,uhhuh .,mm-hmm .,b,b
Bmr025-c5_0411610_0416805,but you were saying that - that the uh - that there's that set of tools uh cygnus tools that ==,but you were saying that - that the uh - that there's that set of tools uh cygnus tools that ==,s.%-,s.%-
Bmr025-ca_0411812_0412082,so ==,so ==,fh,fh
Bmr025-ca_0416732_0417732,it certainly helps .,it certainly helps .,s^na,s^na
Bmr025-c5_0418110_0418430,uhhuh .,uh-huh .,b,b
Bmr025-ca_0418202_0420502,um i mean without those i wouldn't even attempt it .,um i mean without those i wouldn't even attempt it .,s,s
Bmr025-c5_0420670_0420980,yeah .,yeah .,s^bk,s^bk
Bmr025-c1_0420880_0421340,uhhuh .,mm-hmm .,b,b
Bmr025-ca_0421222_0425472,but what those - they - what those do is provide sort of a b s d compatibility layer .,but what those - they - what those do is provide sort of a b_s_d compatibility layer .,s,s
Bmr025-ca_0425943_0428323,so that the normal unix function calls all work .,so that the normal unix function calls all work .,s,s
Bmr025-c1_0426153_0426663,uhhuh .,mm-hmm .,b,b
Bmr025-c1_0427580_0428090,uhhuh .,mm-hmm .,b,b
Bmr025-ca_0428998_0429358,um ==,um ==,fh,fh
Bmr025-c5_0429341_0430241,and you have to have all the o- ==,and you have to have all the o- ==,s^bu.%-,s^bu.%-
Bmr025-ca_0429890_0433480,but the problem is that - that the thisl tools didn't use anything like autoconf .,but the problem is that - that the thisl tools didn't use anything like autoconf .,s,s
Bmr025-ca_0434423_0440499,and so you have the normal porting problems of different header files and th- - some things are defined and some things aren't .,and so you have the normal porting problems of different header files and th- - some things are defined and some things aren't .,s,s
Bmr025-ca_0441092_0444600,and uh - different compiler work arounds and so on .,and uh - different compiler work-arounds and so on .,s,s
Bmr025-ca_0444600_0453701,so the fact that - um it took me a day to get it c- - to compile under solaris means it's probably going to take me s- - significantly more than that to get it to compile under windows .,so the fact that - um it took me a day to get it c- - to compile under solaris means it's probably gonna take me s- - significantly more than that to get it to compile under windows .,s,s
Bmr025-c1_0453800_0456010,how about having it run under free b s d ?,how about having it run under free b_s_d ?,qo^cs,qo^cs
Bmr025-c4_0453941_0454461,well what you need ==,well what you need ==,s.%-,s.%-
Bmr025-ca_0456090_0457590,free b s d would probably be easier .,free b_s_d would probably be easier .,s^ba^na,s^ba^na
Bmr025-c4_0457980_0463020,all you need to do is say to dan gee it would be nice if this worked under autoconf and it'll be done in a day .,all you need to do is say to dan gee it would be nice if this worked under autoconf and it'll be done in a day .,s:s,s:s
Bmr025-ca_0463050_0463460,that's true .,that's true .,s^aa,s^aa
Bmr025-c4_0463260_0463540,right ?,right ?,qy^d^g^rt,qy^d^g^rt
Bmr025-c3_0463719_0463839,uh ==,uh ==,b,b
Bmr025-ca_0465390_0466470,actually you know i should check .,actually you know i should check .,s^cc,s^cc
Bmr025-ca_0466470_0469080,because he did port it to sprachcore .,because he did port it to sprachcore .,s^df,s^df
Bmr025-c4_0469491_0469711,right .,right .,s^aa,s^aa
Bmr025-ca_0469526_0470766,so he might have done that already .,so he might have done that already .,s,s
Bmr025-c4_0470750_0472540,i - i - i wouldn't be surprised .,i - i - i wouldn't be surprised .,s,s
Bmr025-c1_0473090_0473380,so ==,so ==,fg,fg
Bmr025-ca_0473490_0474140,i'll check at that .,i'll check at that .,s^cc,s^cc
Bmr025-c5_0473940_0474570,how does it play ?,how does it play ?,qw,qw
Bmr025-c4_0474000_0474220,what i ==,what i ==,s.%-,s.%-
Bmr025-c1_0474352_0479542,but it would - what would serve - would serve both purposes is if you contact him and ask him if he's already done it .,but it would - what would serve - would serve both purposes is if you contact him and ask him if he's already done it .,s^co,s^co
Bmr025-ca_0479378_0479998,yeah right .,yeah right .,s^aa,s^aa
Bmr025-c1_0479938_0481278,if he has then you learn .,if he has then you learn .,s,s
Bmr025-c1_0481608_0482828,if he hasn't then he'll do it .,if he hasn't then he'll do it .,s,s
Bmr025-ca_0482900_0483190,right .,right .,s^aa,s^aa
Bmr025-c0_0485960_0486220,wow .,wow .,b,b
Bmr025-c5_0486710_0488080,i hope he never listens to these meetings .,i hope he never listens to these meetings .,s^j,s^j
Bmr025-ca_0488520_0489030,that's right .,that's right .,s^aa.%,s^aa.%
Bmr025-ca_0490744_0497290,so | and i've been corresponding with dan and also with uh - uh - softsound guy uh ==,so | and i've been corresponding with dan and also with uh - uh - softsound guy uh ==,fg|s.%--,fg|s.%--
Bmr025-c0_0491660_0492140,it's amazing .,it's amazing .,b,b
Bmr025-c1_0493283_0493683,yeah .,yeah .,b,b
Bmr025-ca_0498410_0499180,blanking on his name .,blanking on his name .,s,s
Bmr025-c5_0499731_0500341,tony robinson ?,tony robinson ?,qy^bu^d^rt,qy^bu^d^rt
Bmr025-c1_0500010_0500530,tony robinson ?,tony robinson ?,qy^bu^d^rt,qy^bu^d^rt
Bmr025-ca_0500800_0501310,do i mean tony ?,do i mean tony ?,qy^no^rt,qy^no^rt
Bmr025-ca_0501310_0501890,i guess i do .,i guess i do .,s^aa,s^aa
Bmr025-c1_0502034_0502244,yeah .,yeah .,b,b
Bmr025-ca_0502317_0503607,or s- - or steve renals .,or s- - or steve renals .,s^e,s^e
Bmr025-c4_0502390_0503000,james christie .,james christie .,s,s
Bmr025-ca_0504029_0504809,which one do i mean ?,which one do i mean ?,qw,qw
Bmr025-c1_0504160_0505460,steve renal- - steve renals .,steve renal- - steve renals .,s,s
Bmr025-c4_0504690_0505920,steve renals is not softsound .,steve renals is not softsound .,s^nd,s^nd
Bmr025-c4_0505920_0506150,is he ?,is he ?,qy^d^g^rt,qy^d^g^rt
Bmr025-c1_0506830_0507020,no .,no .,s^ar,s^ar
Bmr025-ca_0507935_0508855,my brain is not working .,my brain is not working .,s^bd,s^bd
Bmr025-ca_0508855_0510495,i don't remember who i've been corresponding with .,i don't remember who i've been corresponding with .,s^no,s^no
Bmr025-c1_0508970_0509460,okay .,o_k .,s^bk,s^bk
Bmr025-c4_0509730_0512834,steve wro- - i- - it's ste- - steve renals wrote thisl i r .,steve wro- - i- - it's ste- - steve renals wrote thisl i_r .,s,s
Bmr025-ca_0512890_0513850,then it's steve renals .,then it's steve renals .,s,s
Bmr025-c4_0514000_0514240,okay .,o_k .,s^bk,s^bk
Bmr025-c1_0514259_0514689,oh okay .,oh o_k .,s^bk,s^bk
Bmr025-ca_0514311_0518111,so uh just getting documentation and uh and f- - and formats .,so uh just getting documentation and uh and f- - and formats .,s,s
Bmr025-c1_0516890_0517080,yeah .,yeah .,b,b
Bmr025-ca_0518111_0519331,so that's all going pretty well .,so that's all going pretty well .,s^ba,s^ba
Bmr025-ca_0519331_0520311,i think we'll be okay with that .,i think we'll be o_k with that .,s,s
Bmr025-c4_0519607_0519777,right .,right .,b,b
Bmr025-c1_0519680_0520320,assuming we're ==,assuming we're ==,s.%-,s.%-
Bmr025-c5_0519700_0522810,what about issues of playing sound files between the two platforms ?,what about issues of playing sound files between the two platforms ?,qo,qo
